Unnamed: 0,Exp Count,Kill,Cluster,Label
324,0.104247024,3.567564813,0,Unknown
325,0.185328042,3.972969905,0,Unknown
326,0.222614518,3.954057876,0,Unknown
327,0.133333185,4.055551049,0,Unknown
328,0.103053345,3.549615205,0,Unknown
329,0.17880771,3.943703386,0,Unknown
330,0.13999972,3.57999284,0,Unknown
331,0.135416469,3.416661684,0,Unknown
332,0.116197019,3.728867988,0,Unknown
333,0.134328213,3.694025853,0,Unknown
334,0.135802419,3.679010983,0,Unknown
335,0.209016299,3.71311308,0,Unknown
336,0.187499692,4.351966526,0,Unknown
337,0.120401128,3.672234416,0,Unknown
338,0.19999995,3.949999013,0,Unknown
339,0.167286071,3.736055591,0,Unknown
340,0.174657253,4.006842866,0,Unknown
341,0.11111107,3.75308503,0,Unknown
342,0.262135413,4.077661985,0,Unknown
343,0.143911269,3.719552803,0,Unknown
344,0.135245841,3.651637698,0,Unknown
345,0.19565194,4.043473426,0,Unknown
346,0.059523774,3.559521691,0,Unknown
347,0.184615228,3.842304441,0,Unknown
348,0.114285497,3.704754848,0,Unknown
349,0.214285669,3.655461417,0,Unknown
350,0.177215145,3.89873319,0,Unknown
351,0.167831927,4.143350704,0,Unknown
352,0.13452919,3.84753484,0,Unknown
353,0.118421068,3.578947839,0,Unknown
354,0.315789333,3.777326253,0,Unknown
355,0.174107182,3.816965138,0,Unknown
356,0.236842136,4.184211077,0,Unknown
357,0.184615228,3.911535152,0,Unknown
358,0.088235194,3.783083924,0,Unknown
359,0.135416469,3.760411183,0,Unknown
360,0.13953477,3.860461974,0,Unknown
361,0.185185117,3.666665309,0,Unknown
362,0.153846134,3.58974313,0,Unknown
363,0.201753855,3.9034985,0,Unknown
364,0.099999975,3.524999119,0,Unknown
365,0.127659564,3.765957126,0,Unknown
366,0.332102929,4.261987587,0,Unknown
367,0.111111173,3.666668704,0,Unknown
368,0.183673394,3.661222995,0,Unknown
369,0.329786778,4.329781246,0,Unknown
370,0.125000069,3.513890841,0,Unknown
371,0.064935065,3.454545455,0,Unknown
372,0.072874461,3.279350766,0,Unknown
373,0.27906954,3.965113052,0,Unknown
